,in_wers,in_cers,in_pers,in_texts,in_scores,new_wers,new_cers,new_pers,new_texts,new_scores,refs
0,0.0,0.0,0.0,down,-54.5848274230957,1.0,0.75,0.75,no,-52.15700149536133,down
1,1.0,1.0,1.0,,0.0,1.0,0.5,1.0,yeah,-37.92521286010742,near
2,0.23076923076923078,0.22666666666666666,0.2463768115942029,the prospect of cutting back spending is an unpleasant one,-995.4761962890625,0.23076923076923078,0.22666666666666666,0.2463768115942029,the prospect of cutting back spending is an unpleasant one,-967.544921875,the prospect of cutting back spending is an unpleasant one for any governor
3,0.6,0.6470588235294118,0.6129032258064516,the humidity,-354.867431640625,0.6,0.6470588235294118,0.6129032258064516,the humidity,-357.258056640625,the humidity is overwhelming there
4,1.0,1.0,1.0,,0.0,1.0,0.5,0.6666666666666666,rode,-145.49346923828125,rage
5,0.0,0.0,0.0,spark,-113.97903442382812,0.0,0.0,0.0,spark,-130.252685546875,spark
6,1.0,1.0,1.0,,0.0,1.0,0.5,0.6666666666666666,work,-53.9307975769043,rock
7,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,sleep
8,0.8,0.3939393939393939,0.46875,mothers yellow king imp,-443.12548828125,0.8,0.45454545454545453,0.53125,mothers yellow king,-410.9063720703125,mother sews yellow gingham aprons
9,1.0,0.4,0.25,art,-97.94223022460938,1.0,1.2,1.0,alright,-161.5738067626953,heart
10,2.0,1.75,1.75,five five,-79.46905517578125,1.0,0.5,0.5,five,-61.88353729248047,side
11,1.0,0.8,0.5,your,-33.45954895019531,1.0,1.0,1.0,,0.0,thorn
12,0.2857142857142857,0.11764705882352941,0.15151515151515152,why yowler worry over silly items,-585.7442626953125,0.2857142857142857,0.11764705882352941,0.12121212121212122,why yall worry over silly items,-884.5974731445312,why yell or worry over silly items
13,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,chip
14,0.0,0.0,0.0,dot,-79.99712371826172,1.0,1.0,1.0,,0.0,dot
15,1.0,0.8529411764705882,0.8787878787878788,entries,-149.06411743164062,1.0,0.8529411764705882,0.8787878787878788,entries,-144.97103881835938,both injuries were to the same leg
16,1.0,0.5,0.6666666666666666,si,-74.51903533935547,1.0,0.75,0.6666666666666666,five,-39.668819427490234,sigh
17,1.0,0.75,0.6666666666666666,food,-31.99848747253418,1.0,1.0,1.0,,0.0,feet
18,1.0,1.0,1.0,oh,-40.266441345214844,1.0,1.0,1.0,oh,-43.77075958251953,car
19,0.0,0.0,0.0,yes,-32.118438720703125,0.0,0.0,0.0,yes,-42.11967086791992,yes
20,0.0,0.0,0.0,air,-76.23629760742188,1.0,1.3333333333333333,1.0,yeah,-41.3048210144043,air
21,3.0,2.4285714285714284,2.5,flicker flicker flicker,-353.91455078125,1.0,0.14285714285714285,0.16666666666666666,flicker,-155.28146362304688,slicker
22,1.0,0.5,0.75,dash,-60.68610382080078,1.0,0.75,0.75,does,-39.32865524291992,dark
23,2.0,2.25,2.3333333333333335,pierre pierre,-266.2338562011719,1.0,0.75,0.6666666666666666,pierre,-203.97720336914062,peer
24,1.0,1.0,1.0,,0.0,1.0,0.8,1.0,no,-35.86476135253906,group
25,0.0,0.0,0.0,hotel,-152.781005859375,0.0,0.0,0.0,hotel,-243.85302734375,hotel
26,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,tip
27,1.0,1.0,1.5,alcohol,-186.91036987304688,1.0,1.0,1.5,alcohol,-199.1645965576172,echo
28,0.0,0.0,0.0,dread,-121.19342041015625,0.0,0.0,0.0,dread,-155.57675170898438,dread
29,1.0,1.0,1.0,,0.0,1.0,0.75,0.5,hey,-126.1051254272461,play
30,0.7142857142857143,0.5945945945945946,0.6363636363636364,if you destroy if you destroy confidence in banks,-919.9500122070312,0.7142857142857143,0.5945945945945946,0.6363636363636364,if you destroy if you destroy confidence in banks,-949.5628051757812,if you destroy confidence in banks you do something to the economy he said
31,1.0,0.6666666666666666,0.3333333333333333,part,-31.28456687927246,0.0,0.0,0.0,pot,-72.0317611694336,pot
32,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,dark
33,0.8,0.8333333333333334,0.8387096774193549,good job,-82.88639831542969,1.0,0.8666666666666667,0.8709677419354839,could die,-121.24098205566406,the job provides many benefits
34,0.14285714285714285,0.05128205128205128,0.10810810810810811,all the big baseball players get treated,-539.9695434570312,0.0,0.0,0.0,all the big baseball players get traded,-1043.0628662109375,all the big baseball players get traded
35,1.0,0.75,0.3333333333333333,here,-39.00252914428711,1.0,0.75,1.0,yeah,-50.638938903808594,peer
36,1.0,1.1666666666666667,1.4,minton mitten,-251.17030334472656,2.0,1.5,1.6,menton matton,-378.53985595703125,mitten
37,1.0,0.875,0.8974358974358975,deng me,-97.51097869873047,1.0,0.925,0.9487179487179487,deng,-65.08979034423828,jane may earn more money by working hard
38,0.8,0.4666666666666667,0.45161290322580644,did job provide money,-133.52806091308594,0.8,0.4666666666666667,0.45161290322580644,did job provide money,-135.01864624023438,the job provides many benefits
39,0.0,0.0,0.0,no,-31.073102951049805,0.0,0.0,0.0,no,-31.668241500854492,no
40,0.875,0.6923076923076923,0.6744186046511628,night dark good night then we,-315.293212890625,0.75,0.7115384615384616,0.7209302325581395,night dark midnight they,-413.9517517089844,night after night they received annoying phone calls
41,1.0,0.6666666666666666,0.2,six,-34.011077880859375,1.0,0.6666666666666666,0.2,six,-39.422813415527344,sticks
42,1.0,1.2,1.25,alpha alpha,-247.52374267578125,0.0,0.0,0.0,alpha,-143.70947265625,alpha
43,0.36363636363636365,0.3076923076923077,0.3125,he really crucified him he nailed it,-599.4832763671875,0.36363636363636365,0.3076923076923077,0.3125,he really crucified him he nailed it,-584.2311401367188,he really crucified him he nailed it for a yard loss
44,0.0,0.0,0.0,yes,-31.761810302734375,0.0,0.0,0.0,yes,-34.93968963623047,yes
45,1.0,1.25,1.25,dark dark,-249.4901885986328,0.0,0.0,0.0,dark,-137.58157348632812,dark
46,0.0,0.0,0.0,droop,-153.47328186035156,1.0,0.6,0.0,drupe,-160.92739868164062,droop
47,0.0,0.0,0.0,no,-33.10080337524414,0.0,0.0,0.0,no,-41.885963439941406,no
48,1.0,0.75,0.75,fred,-117.88742065429688,1.0,0.75,1.0,f,-49.71437454223633,fate
49,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,0.0,suit
