,in_wers,in_cers,in_pers,in_texts,new_wers,new_cers,new_pers,new_texts,refs
0,1.0,1.0,1.0,b,1.0,0.75,1.0,blow,down
1,1.0,0.5,1.0,yeah,1.0,0.5,1.0,yeah,near
2,0.6153846153846154,0.38666666666666666,0.43478260869565216,the prospect of cutting backs spinning is a nonpositive,0.23076923076923078,0.22666666666666666,0.2463768115942029,the prospect of cutting back spending is an unpleasant one,the prospect of cutting back spending is an unpleasant one for any governor
3,0.8,0.9117647058823529,0.9354838709677419,the,0.8,0.9117647058823529,0.9354838709677419,the,the humidity is overwhelming there
4,1.0,1.25,0.8333333333333334,rollin,1.0,0.75,0.6666666666666666,right,rage
5,1.0,0.8,1.0,she,1.0,0.8,1.0,s,spark
6,1.0,1.0,1.0,xerox,0.0,0.0,0.0,rock,rock
7,1.0,0.8,1.0,s,1.0,1.0,1.0,umhmm,sleep
8,1.0,0.7878787878787878,0.875,martin stowers the slowwriting director,1.0,0.9090909090909091,0.9375,the,mother sews yellow gingham aprons
9,1.0,1.0,1.0,i,1.0,1.0,1.0,ill,heart
10,1.0,1.0,1.0,street,1.0,0.25,0.25,slide,side
11,4.0,2.6,3.75,its a good idea,1.0,0.6,1.0,the,thorn
12,0.5714285714285714,0.4411764705882353,0.42424242424242425,why youll worry over me,0.8571428571428571,0.5882352941176471,0.6060606060606061,why yall were you worried,why yell or worry over silly items
13,1.0,1.0,1.0,s,1.0,1.0,1.0,s,chip
14,1.0,1.0,1.0,im,0.0,0.0,0.0,dot,dot
15,0.7142857142857143,0.5882352941176471,0.6666666666666666,both children were young,1.0,0.9411764705882353,0.9696969696969697,yeah,both injuries were to the same leg
16,1.0,0.75,0.6666666666666666,so,1.0,0.25,0.3333333333333333,sight,sigh
17,1.0,0.75,1.0,street,1.0,1.0,1.0,soon,feet
18,1.0,1.0,1.0,yeah,1.0,1.6666666666666667,1.0,umhmm,car
19,0.0,0.0,0.0,yes,0.0,0.0,0.0,yes,yes
20,1.0,1.3333333333333333,1.0,yeah,1.0,1.0,1.0,um,air
21,1.0,0.8571428571428571,0.8333333333333334,sway,1.0,0.8571428571428571,1.0,s,slicker
22,1.0,1.0,1.0,b,1.0,1.0,1.0,the,dark
23,2.0,1.25,1.3333333333333333,she is,1.0,0.75,1.0,yeah,peer
24,1.0,0.8,1.0,oh,1.0,0.8,1.0,um,group
25,2.0,1.0,1.0,im too,2.0,1.4,1.0,holds you,hotel
26,1.0,1.3333333333333333,1.0,yeah,1.0,0.6666666666666666,1.0,the,tip
27,1.0,0.75,1.0,the,1.0,1.0,1.0,umhmm,echo
28,1.0,0.8,1.0,the,1.0,0.6,0.75,duran,dread
29,1.0,1.0,1.0,the,1.0,1.0,1.0,s,play
30,1.0,0.9594594594594594,0.9545454545454546,its,0.7142857142857143,0.6891891891891891,0.7272727272727273,if you just try if you just try to offer them a steamboat,if you destroy confidence in banks you do something to the economy he said
31,1.0,1.0,1.0,short,1.0,0.6666666666666666,0.6666666666666666,slot,pot
32,1.0,1.0,1.0,,1.0,1.0,1.0,um,dark
