,in_wers,in_cers,in_pers,in_texts,new_wers,new_cers,new_pers,new_texts,refs
0,0.1111111111111111,0.10869565217391304,0.11363636363636363,in the victorian era this was a budgetal notion,0.0,0.0,0.0,in the victorian era this was a radical notion,in the victorian era this was a radical notion
1,0.0,0.0,0.0,the result was the eagles bestrealized and most popular album so far,0.0,0.0,0.0,the result was the eagles bestrealized and most popular album so far,the result was the eagles bestrealized and most popular album so far
2,0.8333333333333334,0.34210526315789475,0.37142857142857144,omeganica subsequently denoted,0.0,0.0,0.0,a mechanic has subsequently been added,a mechanic has subsequently been added
3,0.1,0.02,0.02040816326530612,broadford is played by actor casey bond in the film,0.0,0.0,0.0,bradford is played by actor casey bond in the film,bradford is played by actor casey bond in the film
4,0.0,0.0,0.0,the trial was supported by european union,0.0,0.0,0.0,the trial was supported by european union,the trial was supported by european union
5,0.42857142857142855,0.3493975903614458,0.33783783783783783,the body is directly abovecalled measures that belong to the wire,0.5,0.3253012048192771,0.32432432432432434,the barrise is directly above cold measures but belongs to the wire,the parish is directly above coal measures that belong to the wyre forest coalfield
6,0.8571428571428571,0.9375,0.9534883720930233,the,0.5714285714285714,0.3958333333333333,0.37209302325581395,the matchman was incorporated into the all ace,methven was incorporated into the ellesmere seat
7,0.9230769230769231,0.9565217391304348,0.9696969696969697,the,0.46153846153846156,0.42028985507246375,0.4090909090909091,clay bond was a fixture of the new york city,claiborne was a fixture of the new york city social scene for decades
8,0.8571428571428571,0.9210526315789473,0.9473684210526315,the,0.42857142857142855,0.15789473684210525,0.2894736842105263,the female does most often intubating,the female does most of the incubation
9,1.0,0.9811320754716981,0.9807692307692307,oh,0.4,0.3584905660377358,0.3076923076923077,a wide variety of effects can be used for the surfing events,a wide variety of weapons can be used for selfdefense
10,1.0,0.7808219178082192,0.8428571428571429,whats your favorite dish,0.7777777777777778,0.684931506849315,0.7,richards pay is a long time,richards bay is alongside rustenberg south africas fastestdeveloping city
11,0.9285714285714286,0.9583333333333334,0.9705882352941176,the,0.9285714285714286,0.9583333333333334,0.9705882352941176,the,in the latter case it may be used in conjunction with the left handshake
12,1.0,0.9552238805970149,0.9682539682539683,the,1.0,0.9552238805970149,0.9682539682539683,the,they prey on arthropods such as small softbodied insects and larvae
13,0.7272727272727273,0.375,0.4225352112676056,the companys nonprofit significant repair in the restaurant,0.09090909090909091,0.013888888888888888,0.014084507042253521,the company is known for its significant repair and restoration project,the company is known for its significant repair and restoration projects
14,1.0,0.9302325581395349,0.972972972972973,the,0.375,0.23255813953488372,0.24324324324324326,there were blue and green color trees,there were blue and green colored keys also
15,0.875,0.4090909090909091,0.37777777777777777,service to the park can be provided by a seat,0.25,0.13636363636363635,0.13333333333333333,service to clark county is provided by seatrain,service in clark county is provided by ctran
16,0.9285714285714286,0.9647058823529412,0.9753086419753086,the,0.9285714285714286,0.9647058823529412,0.9753086419753086,the,marie while being a comfortable location for students in the nursing program to learn
17,0.9230769230769231,0.9577464788732394,0.9696969696969697,the,0.9230769230769231,0.9577464788732394,0.9696969696969697,the,the team nicknamed the grove play their home games at the novus stadium
18,0.0,0.0,0.0,this is the right place when travelers can seek some relaxation,0.0,0.0,0.0,this is the right place when travelers can seek some relaxation,this is the right place when travelers can seek some relaxation
19,0.1,0.014705882352941176,0.014925373134328358,it has remained the most catastrophic accident in motorsports history,0.1,0.058823529411764705,0.05970149253731343,it has remained the most catastrophic accident in boatersports history,it has remained the most catastrophic accident in motorsport history
20,0.5,0.3181818181818182,0.3230769230769231,the bbridge was a patent medicine market as at urfurt,0.25,0.24242424242424243,0.2153846153846154,the bbridge was a patent medicine market as a cure for,the beverage was a patent medicine marketed as a cure for hangover
21,0.375,0.08333333333333333,0.1111111111111111,its partly fed by the bern glacier,0.25,0.05555555555555555,0.08333333333333333,its partly fed by the berg glacier,it is partly fed by the berg glacier
22,0.6428571428571429,0.6,0.6219512195121951,there is only one executable channel the montfellow channel,0.7857142857142857,0.6,0.5487804878048781,theres only one empty volcano smelled by a volcano,there is only one active volcano timanfaya volcano which the park is named after
23,1.0,0.72,0.7083333333333334,its all too much,0.5,0.32,0.2916666666666667,break it up as you make it,fake it until you make it
24,1.2857142857142858,0.7954545454545454,0.8372093023255814,the baronet was a sparrow and the kings assistant,0.42857142857142855,0.13636363636363635,0.11627906976744186,barroni lost the fight via an anonymous decision,baroni lost the fight via unanimous decision
25,1.0,0.9433962264150944,0.9454545454545454,its,0.45454545454545453,0.18867924528301888,0.16363636363636364,it is located in a complex with a great callcenter,it is located on a complex with the grady cole center
26,0.8,0.5,0.5111111111111111,im afraid youve all built a new clue you should,0.5,0.2916666666666667,0.3333333333333333,im afraid you cant build a nuclear eutrophic,im afraid you cant build an igloo in the tropics
27,0.2857142857142857,0.16666666666666666,0.15625,she sewed the tonguecow quite neatly,0.0,0.0,0.0,she sewed the torn coat quite neatly,she sewed the torn coat quite neatly
28,0.0,0.0,0.0,they represent millions of voters,0.0,0.0,0.0,they represent millions of voters,they represent millions of voters
29,0.0,0.0,0.0,will it still be warm nineteen hours from now in pennsylvania,0.0,0.0,0.0,will it still be warm nineteen hours from now in pennsylvania,will it still be warm nineteen hours from now in pennsylvania
