,in_wers,in_cers,in_pers,in_status,in_texts,in_scores,new_wers,new_cers,new_pers,new_status,new_texts,new_scores,refs
0,1.0,0.6666666666666666,0.8,1,hey,-116.18833923339844,1.0,0.6666666666666666,0.8,1,hey,-105.11592102050781,hanger
1,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,about
2,1.0,1.3333333333333333,0.6666666666666666,1,yeah,-42.32923126220703,1.0,1.0,1.0,1,ah,-42.351280212402344,oil
3,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,yes,-63.9410400390625,golf
4,1.0,1.0,1.0,0,,0.0,1.0,0.25,0.3333333333333333,1,then,-61.997398376464844,than
5,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,alpha
6,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,did
7,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,would
8,1.0,1.0,1.0,0,,0.0,1.0,0.8888888888888888,0.875,1,three,-72.86762237548828,paragraph
9,1.0,1.0,1.0,1,and,-35.37289047241211,1.0,2.0,1.0,1,eight,-66.83724975585938,at
10,1.0,1.6666666666666667,1.3333333333333333,1,vince,-127.28680419921875,1.0,0.6666666666666666,0.6666666666666666,1,yes,-37.55916213989258,get
11,1.0,0.9090909090909091,0.9090909090909091,1,yes,-32.85972595214844,1.0,0.9090909090909091,0.9090909090909091,1,yes,-31.335403442382812,entertainer
12,1.0,1.0,1.0,1,yes,-40.47332763671875,1.0,1.0,1.0,1,yes,-43.06041717529297,lamp
13,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,yes,-50.93205261230469,both
14,1.0,0.75,1.0,1,no,-32.720516204833984,1.0,1.0,1.0,1,yeah,-39.3100471496582,more
15,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,thank,-57.956871032714844,people
16,1.0,1.0,1.0,0,,0.0,1.0,0.5,1.3333333333333333,1,seven,-64.14627838134766,been
17,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,interwoven
18,1.0,0.5,1.0,1,hey,-96.54470825195312,1.0,0.5,1.0,1,hey,-105.06124877929688,he
19,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.3333333333333333,1,nine,-66.6061019897461,did
20,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,circular
21,1.0,0.7777777777777778,0.8888888888888888,1,yes,-31.007715225219727,1.0,0.7777777777777778,0.8888888888888888,1,yeah,-37.322330474853516,designate
22,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,equilibrium
23,1.0,1.0,1.0,1,mm,-88.32445526123047,1.0,1.0,1.0,1,mm,-77.58763122558594,and
24,1.0,0.8571428571428571,1.0,1,yeah,-36.7795524597168,1.0,1.0,1.0,1,yes,-45.59214782714844,without
25,1.0,0.5,0.5,1,two,-37.094703674316406,1.0,0.5,0.5,1,two,-41.46566390991211,to
26,1.0,0.8,0.0,1,right,-34.232093811035156,1.0,0.8,0.0,1,right,-48.344818115234375,write
27,1.0,1.0,1.0,0,,0.0,1.0,0.5,0.5,1,two,-48.253971099853516,to
28,1.0,1.0,1.0,0,,0.0,1.0,0.8461538461538461,0.9090909090909091,1,yes,-64.19189453125,professionals
29,1.0,0.8333333333333334,1.0,1,yes,-48.64323425292969,1.0,0.8333333333333334,1.0,1,yes,-67.84109497070312,gouged
30,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,yankee
31,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,casualties
32,2.0,0.7,0.7777777777777778,1,can yes,-95.82550048828125,1.0,0.8,0.7777777777777778,1,can,-41.67646789550781,convulsion
33,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,forgetfulness
34,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,unusual
35,1.0,1.0,1.0,0,,0.0,1.0,0.6666666666666666,1.0,1,three,-91.12227630615234,telephone
36,2.0,1.0,1.25,1,oh yeah,-82.80179595947266,1.0,1.0,1.0,1,yeah,-66.64828491210938,other
37,1.0,0.75,0.6666666666666666,1,yeah,-38.742767333984375,1.0,0.75,0.6666666666666666,1,yeah,-64.98179626464844,your
38,1.0,0.8888888888888888,0.9,1,yes,-51.088226318359375,1.0,0.8888888888888888,0.9,1,yes,-67.75526428222656,vouchsafe
39,1.0,1.0,1.0,0,,0.0,1.0,0.6666666666666666,0.5,1,ah,-36.69275665283203,are
40,1.0,1.0,1.0,0,,0.0,1.0,0.7142857142857143,0.8571428571428571,1,one,-52.55427551269531,resound
41,1.0,0.75,0.6666666666666666,1,yeah,-35.569602966308594,1.0,0.75,0.6666666666666666,1,yeah,-32.65488815307617,your
42,1.0,1.5,1.5,1,inch,-77.26492309570312,1.0,1.0,1.0,0,,0.0,it
43,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,mm,-80.25616455078125,use
44,1.0,0.8333333333333334,0.8,1,four,-61.80762481689453,1.0,1.0,1.0,0,,0.0,fathom
45,1.0,0.8333333333333334,0.8181818181818182,1,seven,-49.300045013427734,1.0,0.8333333333333334,0.8181818181818182,1,seven,-47.70231246948242,cobblestones
46,1.0,1.0,1.0,0,,0.0,2.0,0.8,0.7777777777777778,1,bad man,-132.82398986816406,birmingham
47,1.0,0.6666666666666666,0.8,1,hey,-110.02626037597656,1.0,0.6666666666666666,0.8,1,hey,-100.16802978515625,hanger
48,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,observation
49,1.0,0.6,1.0,1,hey,-92.3604736328125,1.0,1.0,1.0,1,yeah,-59.92043685913086,other
50,1.0,0.75,0.6666666666666666,1,yeah,-49.95438766479492,1.0,0.75,0.6666666666666666,1,yeah,-41.60268783569336,bath
51,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,yeah,-44.05528259277344,four
52,1.0,1.0,1.0,0,,0.0,1.0,0.8333333333333334,0.8333333333333334,1,eight,-59.23137283325195,victor
53,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,atrocious
54,1.0,1.0,1.0,1,mm,-83.55960083007812,1.0,1.0,1.0,1,mm,-88.42149353027344,for
55,1.0,1.0,1.0,1,no,-64.96778869628906,1.0,2.0,0.6666666666666666,1,nine,-69.55769348144531,by
56,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,1,hey,-122.52342224121094,echo
57,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,lima
58,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,hotel
59,1.0,0.8,1.0,1,yeah,-50.14152526855469,1.0,0.8,1.0,1,yeah,-47.69541931152344,there
60,1.0,0.8,1.0,1,hey,-109.96810913085938,1.0,0.8,1.0,1,hey,-123.29359436035156,shift
61,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,schoolyard
62,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,haranguing
63,1.0,0.8,1.0,1,yes,-32.93891143798828,1.0,0.8,1.0,1,yes,-43.853302001953125,brush
64,1.0,0.8571428571428571,1.0,1,yeah,-38.66128921508789,1.0,1.0,1.0,1,yes,-41.239830017089844,without
65,1.0,0.8333333333333334,1.0,1,okay,-33.49029541015625,1.0,0.8333333333333334,1.0,1,okay,-42.0080680847168,yankee
66,1.0,1.0,1.0,0,,0.0,1.0,1.0,0.6666666666666666,1,one,-52.67447280883789,than
67,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,them
68,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,eyebrows
69,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,papa
70,1.0,2.0,0.5,1,ay,-74.72100067138672,1.0,2.0,0.5,1,ay,-88.42882537841797,i
71,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,oh
72,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,a
73,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,anxieties
74,1.0,0.8333333333333334,0.8333333333333334,1,yes,-36.091835021972656,1.0,1.0,1.0,1,six,-50.762630462646484,quebec
75,1.0,1.0,1.0,0,,0.0,1.0,0.8333333333333334,0.875,1,yes,-46.88798522949219,joseph
76,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,juliet
77,1.0,1.0,1.0,0,,0.0,1.0,0.8,1.0,1,yeah,-48.1797981262207,bravo
78,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,car
79,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,eyebrows
80,1.0,0.5,1.0,1,oh,-29.4130916595459,1.0,0.5,1.0,1,oh,-44.65930938720703,of
81,1.0,1.0,1.0,1,one,-61.21511459350586,1.0,0.8,1.0,1,yeah,-57.21108627319336,bravo
82,2.0,1.1428571428571428,0.875,1,sure yeah,-86.63908386230469,1.0,1.0,1.0,0,,0.0,chowder
83,1.0,0.75,1.0,1,yeah,-49.107643127441406,1.0,0.75,1.0,1,yeah,-65.3828353881836,zero
84,1.0,1.0,1.0,0,,0.0,1.0,1.0,1.0,0,,0.0,journalism
85,1.0,1.0,1.0,1,yes,-35.99604034423828,1.0,1.0,1.0,1,yes,-35.36692810058594,which
86,1.0,0.875,1.0,1,hey,-86.90940856933594,1.0,1.0,1.1666666666666667,1,hesitan,-232.95343017578125,catholic
87,1.0,1.3333333333333333,1.0,1,yeah,-38.0078125,1.0,1.3333333333333333,1.0,1,yeah,-39.83038330078125,the
