,in_wers,in_cers,in_texts,new_wers,new_cers,new_texts,refs
0,0.0,0.0,in the victorian era this was a radical notion,0.0,0.0,in the victorian era this was a radical notion,in the victorian era this was a radical notion
1,0.16666666666666666,0.014705882352941176,the result was the eagles best realized and most popular album so far,0.16666666666666666,0.014705882352941176,the result was the eagles best realized and most popular album so far,the result was the eagles bestrealized and most popular album so far
2,0.0,0.0,a mechanic has subsequently been added,0.0,0.0,a mechanic has subsequently been added,a mechanic has subsequently been added
3,0.0,0.0,bradford is played by actor casey bond in the film,0.0,0.0,bradford is played by actor casey bond in the film,bradford is played by actor casey bond in the film
4,0.0,0.0,the trial was supported by european union,0.0,0.0,the trial was supported by european union,the trial was supported by european union
5,0.21428571428571427,0.21686746987951808,the parish is directly above coal measures that belong to the wire,0.21428571428571427,0.21686746987951808,the parish is directly above coal measures that belong to the wire,the parish is directly above coal measures that belong to the wyre forest coalfield
6,0.2857142857142857,0.22916666666666666,methven was incorporated into the alaska,0.2857142857142857,0.22916666666666666,methven was incorporated into the alaska,methven was incorporated into the ellesmere seat
7,0.38461538461538464,0.42028985507246375,claiborne was a fixture of new york city,0.38461538461538464,0.42028985507246375,claiborne was a fixture of new york city,claiborne was a fixture of the new york city social scene for decades
8,0.0,0.0,the female does most of the incubation,0.0,0.0,the female does most of the incubation,the female does most of the incubation
9,0.3,0.1320754716981132,a wide variety of effect can be used for self defense,0.3,0.1320754716981132,a wide variety of effect can be used for self defense,a wide variety of weapons can be used for selfdefense
10,0.5555555555555556,0.6575342465753424,richards bay is alongside,0.5555555555555556,0.6575342465753424,richards bay is alongside,richards bay is alongside rustenberg south africas fastestdeveloping city
11,0.07142857142857142,0.06944444444444445,in the latter case it may be used in conjunction with the left hand,0.07142857142857142,0.06944444444444445,in the latter case it may be used in conjunction with the left hand,in the latter case it may be used in conjunction with the left handshake
12,0.36363636363636365,0.373134328358209,they prey on arthropods such as small soft,0.36363636363636365,0.373134328358209,they prey on arthropods such as small soft,they prey on arthropods such as small softbodied insects and larvae
13,0.0,0.0,the company is known for its significant repair and restoration projects,0.0,0.0,the company is known for its significant repair and restoration projects,the company is known for its significant repair and restoration projects
14,0.375,0.2558139534883721,there were blue and green colored keys also in the car,0.0,0.0,there were blue and green colored keys also,there were blue and green colored keys also
15,0.25,0.022727272727272728,service in clark county is provided by c tran,0.25,0.022727272727272728,service in clark county is provided by c tran,service in clark county is provided by ctran
16,0.07142857142857142,0.023529411764705882,marry while being a comfortable location for students in the nursing program to learn,0.07142857142857142,0.023529411764705882,mary while being a comfortable location for students in the nursing program to learn,marie while being a comfortable location for students in the nursing program to learn
17,0.07692307692307693,0.028169014084507043,the team nicknamed the grove play their home games at the nova stadium,0.07692307692307693,0.028169014084507043,the team nicknamed the grove play their home games at the nova stadium,the team nicknamed the grove play their home games at the novus stadium
18,0.0,0.0,this is the right place when travelers can seek some relaxation,0.0,0.0,this is the right place when travelers can seek some relaxation,this is the right place when travelers can seek some relaxation
19,0.0,0.0,it has remained the most catastrophic accident in motorsport history,0.0,0.0,it has remained the most catastrophic accident in motorsport history,it has remained the most catastrophic accident in motorsport history
20,0.08333333333333333,0.10606060606060606,the beverage was a patent medicine marketed as a cure for health,0.08333333333333333,0.10606060606060606,the beverage was a patent medicine marketed as a cure for health,the beverage was a patent medicine marketed as a cure for hangover
21,0.0,0.0,it is partly fed by the berg glacier,0.0,0.0,it is partly fed by the berg glacier,it is partly fed by the berg glacier
22,0.5714285714285714,0.4375,there is only one active volcano timon fire volcano,0.5714285714285714,0.4375,there is only one active volcano timon fire volcano,there is only one active volcano timanfaya volcano which the park is named after
23,0.16666666666666666,0.16,fake it until you make it you,0.0,0.0,fake it until you make it,fake it until you make it
24,0.0,0.0,baroni lost the fight via unanimous decision,0.0,0.0,baroni lost the fight via unanimous decision,baroni lost the fight via unanimous decision
25,0.2727272727272727,0.1320754716981132,it is located on a complex with a gradical center,0.18181818181818182,0.09433962264150944,it is located on a complex with a grady coal center,it is located on a complex with the grady cole center
26,0.0,0.0,im afraid you cant build an igloo in the tropics,0.0,0.0,im afraid you cant build an igloo in the tropics,im afraid you cant build an igloo in the tropics
27,0.0,0.0,she sewed the torn coat quite neatly,0.0,0.0,she sewed the torn coat quite neatly,she sewed the torn coat quite neatly
28,0.0,0.0,they represent millions of voters,0.0,0.0,they represent millions of voters,they represent millions of voters
29,0.0,0.0,will it still be warm nineteen hours from now in pennsylvania,0.0,0.0,will it still be warm nineteen hours from now in pennsylvania,will it still be warm nineteen hours from now in pennsylvania
