,in_wers,in_cers,in_pers,in_texts,new_wers,new_cers,new_pers,new_texts,refs
0,1.0,0.8571428571428571,0.8333333333333334,im,4.0,2.0,2.3333333333333335,im a lovely miss,moisten
1,1.0,0.9090909090909091,0.9090909090909091,the,1.0,0.9090909090909091,0.9090909090909091,the,abbreviated
2,2.0,0.8571428571428571,1.0,oh its,2.0,0.8571428571428571,1.0,oh its,without
3,1.0,0.9,1.0,im,1.0,0.9,1.0,im,casualties
4,1.0,0.875,0.875,oh,1.0,1.0,1.0,the,downward
5,1.0,0.75,1.0,oh,1.0,0.75,1.0,oh,each
6,1.0,1.0,1.0,the,1.0,1.3333333333333333,1.6666666666666667,okay,how
7,1.0,0.8571428571428571,1.0,oh,1.0,1.0,1.0,uh,absolve
8,1.0,0.6,1.0,the,1.0,1.0,1.0,so,thumb
9,1.0,0.8571428571428571,0.8571428571428571,the,1.0,1.0,0.7142857142857143,abbess,episode
10,1.0,0.8333333333333334,0.9230769230769231,cheers,1.0,0.8333333333333334,0.9230769230769231,cheers,advantageous
11,3.0,2.8,2.2,yes youre right,2.0,1.8,1.6,this doesnt,delta
12,2.0,0.8333333333333334,1.1666666666666667,its so,2.0,0.8333333333333334,1.1666666666666667,im so,absorb
13,1.0,0.8,0.6,wha,1.0,0.4,0.8,whach,watch
14,0.0,0.0,0.0,nine,0.0,0.0,0.0,nine,nine
15,1.0,0.8333333333333334,1.0,the,1.0,0.8333333333333334,0.6,yeah,yankee
16,1.0,0.8333333333333334,1.0,the,2.0,1.1666666666666667,1.0,big young,victor
17,1.0,0.6666666666666666,1.0,the,1.0,1.0,1.6666666666666667,j,tab
18,1.0,1.0,1.0,the,1.0,1.0,1.0,the,left
19,1.0,0.8333333333333334,1.0,the,2.0,1.3333333333333333,0.7777777777777778,dying dance,digest
20,1.0,0.8333333333333334,0.8333333333333334,oh,1.0,0.6666666666666666,0.6666666666666666,shows,choice
21,3.0,2.0,2.0,see hes walking,2.0,0.8333333333333334,0.6,see you,sierra
22,1.0,0.8571428571428571,1.0,im,1.0,0.8571428571428571,1.0,the,fishing
23,1.0,1.0,1.0,oh,1.0,1.0,1.0,oh,unyielding
24,1.0,0.75,1.0,no,1.0,0.75,1.0,no,look
25,0.0,0.0,0.0,i,0.0,0.0,0.0,i,i
26,1.0,0.9090909090909091,0.9,im,1.0,0.9090909090909091,0.9,im,battlements
27,1.0,1.0,1.0,oh,1.0,1.6666666666666667,1.5,umhmm,are
28,1.0,0.8,1.0,s,2.0,1.2,1.25,shut down,shout
29,2.0,1.25,0.9090909090909091,shark yeah,3.0,1.5,0.9090909090909091,shark and meek,gigantic
30,1.0,1.0,1.5,im,1.0,1.0,1.0,the,all
31,1.0,0.75,0.5,oh,2.0,1.5,1.5,come on,echo
32,1.0,1.5,1.75,ambulance,1.0,0.5,0.75,and,many
33,1.0,0.8333333333333334,0.8333333333333334,im,1.0,1.0,1.0,whoa,number
34,1.0,1.0,1.0,zing,1.0,1.0,1.0,zing,have
35,1.0,1.0,1.0,im,1.0,2.3333333333333335,2.0,shakesee,how
36,1.0,0.75,1.0,yes,1.0,1.25,1.0,umhmm,were
37,1.0,0.6666666666666666,0.8,the,1.0,0.6666666666666666,1.4,sh,shovel
38,1.0,0.8333333333333334,1.0,what,1.0,1.0,1.0,trust,python
39,3.0,1.2857142857142858,1.5,im a bird,1.0,0.7142857142857143,1.0,slipper,epithet
40,1.0,1.0,1.0,no,1.0,1.0,1.0,so,out
41,1.0,0.75,0.6666666666666666,s,1.0,0.75,0.6666666666666666,so,said
42,2.0,1.0,1.6,felt down,1.0,0.5,0.6,fat,fathom
43,6.0,3.0,4.833333333333333,he was born in berlin germany,3.0,1.25,1.3333333333333333,let me say,anything
44,1.0,0.9,0.875,the,1.0,0.9,0.875,the,commercial
45,3.0,1.8333333333333333,1.5,but youre not,1.0,0.8333333333333334,0.8333333333333334,fun,banana
46,1.0,1.0,1.0,so,1.0,0.75,1.0,yeah,were
47,1.0,1.0,1.0,s,1.0,0.25,0.3333333333333333,god,good
48,1.0,0.8333333333333334,1.0,s,1.0,0.8333333333333334,0.8,so,sawyer
49,1.0,0.875,1.0,hes,1.0,0.875,0.8571428571428571,in,iroquois
50,1.0,0.8571428571428571,0.8333333333333334,im,2.0,0.5714285714285714,0.6666666666666666,come on,command
51,1.0,0.8181818181818182,1.0,so,1.0,1.0,1.0,umhmm,observation
52,2.0,0.7142857142857143,0.625,show up,2.0,1.0,0.875,show game,choking
53,1.0,0.8333333333333334,1.0,home,2.0,1.0,0.6666666666666666,come back,quebec
54,1.0,1.0,1.0,im,1.0,0.6666666666666666,1.0,the,tab
55,3.0,2.0,2.75,im at school,2.0,1.6,1.5,ill soon,other
56,1.0,1.0,1.0,im,1.0,1.0,1.0,im,copy
57,4.0,1.3333333333333333,1.25,on value she is,5.0,1.4444444444444444,1.375,on by you she is,ablutions
58,1.0,1.0,1.0,say,1.0,1.0,1.3333333333333333,sail,there
59,1.0,0.6666666666666666,0.75,s,1.0,0.6666666666666666,0.75,s,six
60,2.0,0.8571428571428571,1.0,whats the,2.0,1.0,1.0,wheres she,whiskey
61,1.0,0.5714285714285714,0.5714285714285714,shardly,0.0,0.0,0.0,charlie,charlie
62,1.0,1.5,1.0,the,1.0,1.5,1.0,the,of
63,1.0,1.25,1.0,young,1.0,1.0,1.0,go,they
64,1.0,1.0,1.0,,1.0,1.0,0.875,the,uniform
65,1.0,1.0,1.0,oh,1.0,2.5,1.5,umhmm,at
66,1.0,0.75,0.875,okay,1.0,1.0,1.0,,downward
67,1.0,1.0,1.3333333333333333,edo,1.0,0.6666666666666666,0.6666666666666666,yum,him
68,1.0,0.8,0.6666666666666666,oh,1.0,0.8,0.6666666666666666,oh,hotel
69,1.0,1.0,0.75,the,1.0,1.0,1.0,,papa
70,1.0,1.0,1.0,,1.0,1.0,1.0,yes,tab
71,1.0,0.75,1.0,oh,1.0,1.0,1.0,the,word
72,1.0,0.8333333333333334,0.8333333333333334,umhmm,1.0,0.8333333333333334,0.8333333333333334,umhmm,upward
73,1.0,1.0,1.0,what,1.0,0.8333333333333334,0.6666666666666666,why,crying
74,1.0,1.5,1.0,school,1.0,1.0,1.0,yeah,drum
75,1.0,0.7142857142857143,0.8333333333333334,the,1.0,0.7142857142857143,0.8333333333333334,the,bathtub
76,1.0,1.0,1.5,its,1.0,1.0,1.0,uh,as
77,5.0,2.0,1.5833333333333333,she was born in england,1.0,0.8,0.9166666666666666,sure,journalism
78,1.0,0.9090909090909091,0.9333333333333333,im,1.0,0.9090909090909091,0.9333333333333333,lock,legislature
79,5.0,1.8,1.5,she was born in edin,2.0,0.9,0.9166666666666666,show in,journalism
80,1.0,0.875,0.7777777777777778,so,1.0,1.0,0.7777777777777778,whoa,november
81,1.0,0.5,1.0,wait,1.0,0.75,0.6666666666666666,wills,with
82,1.0,1.0,1.0,im,1.0,1.0,1.0,i,monkey
83,2.0,0.8,1.0,she is,1.0,0.8,1.0,s,shift
84,1.0,0.25,0.25,mike,1.0,0.25,0.25,mike,make
85,1.0,0.8333333333333334,0.8,oh,1.0,0.8333333333333334,1.0,uh,awhile
86,1.0,0.8,1.0,s,1.0,0.8,1.0,soon,shift
87,1.0,1.0,0.8,sackfin,0.0,0.0,0.0,seven,seven
88,1.0,1.0,1.0,the,1.0,1.0,1.0,the,bravo
89,1.0,1.0,1.0,the,1.0,1.25,1.0,umhmm,into
90,1.0,0.8333333333333334,0.8333333333333334,im,1.0,0.8333333333333334,0.8333333333333334,no,number
91,1.0,1.0,1.0,im,1.0,1.0,1.0,the,copy
92,1.0,1.0,1.0,the,1.0,1.3333333333333333,1.0,yeah,did
93,1.0,0.7777777777777778,1.0,ambulances,1.0,0.7777777777777778,1.0,the,amethysts
94,2.0,1.6666666666666667,2.0,he was,1.0,0.6666666666666666,0.6666666666666666,yes,its
95,1.0,0.75,1.0,no,0.0,0.0,0.0,look,look
96,5.0,1.5,0.9,one two or a t,3.0,1.375,0.8,four to eighteen,futurity
97,1.0,0.8888888888888888,1.0,okay,1.0,0.8888888888888888,1.0,okay,celebrity
98,1.0,1.0,1.0,oh,1.0,0.6666666666666666,1.0,the,use
99,1.0,1.0,1.0,umhmm,1.0,1.0,1.0,the,would
100,3.0,2.8,2.2,yes youre right,3.0,2.0,1.8,yes its done,delta
101,1.0,1.0,1.0,a,1.0,0.5,1.0,i,in
102,1.0,0.875,1.0,the,3.0,1.25,1.5,he who wins,bequeath
103,1.0,1.0,1.0,the,1.0,1.0,1.0,the,bravo
104,1.0,0.8,1.0,wha,1.0,0.8,0.75,what,right
105,1.0,0.8,1.0,oh,1.0,0.8,1.0,uh,ahead
106,1.0,0.3333333333333333,0.3333333333333333,why,1.0,0.6666666666666666,0.6666666666666666,wang,way
107,1.0,0.7,0.8888888888888888,the,5.0,2.0,2.111111111111111,im trying to keep wing,apothecary
108,1.0,1.0,1.0,oh,1.0,1.0,1.0,oh,alt
109,2.0,1.0,1.0,hes not,3.0,2.0,1.125,youre not falling,uniform
110,0.0,0.0,0.0,a,1.0,3.0,3.0,hey,a
111,1.0,1.5,1.0,the,1.0,3.0,2.0,school,up
112,2.0,0.7,0.75,hes not,2.0,0.9,1.0,he was,irresolute
113,1.0,0.5714285714285714,0.42857142857142855,shardley,0.0,0.0,0.0,charlie,charlie
114,1.0,0.5714285714285714,1.0,the,1.0,0.8571428571428571,1.0,yeah,butcher
115,1.0,0.75,0.75,oh,1.0,0.75,0.75,ow,coil
116,1.0,1.0,1.0,i,1.0,0.75,0.75,the,haha
117,1.0,1.0,1.0,oh,1.0,1.0,1.0,oh,part
118,1.0,0.8888888888888888,0.9090909090909091,the,1.0,0.8888888888888888,0.9090909090909091,the,clergyman
119,1.0,1.0,1.0,im,1.0,0.6,0.6,what,water
120,3.0,0.7777777777777778,1.0,a poor eel,2.0,0.5555555555555556,0.875,apple eden,apprehend
121,4.0,1.3333333333333333,1.25,on value she is,3.0,1.0,1.125,on by you,ablutions
122,1.0,1.0,1.0,what,1.0,1.0,1.0,what,advice
123,2.0,1.25,1.0,see you,3.0,2.25,1.6,say it one,zero
124,1.0,1.0,1.0,shes,1.0,0.8333333333333334,0.6,sheep,people
125,4.0,1.7142857142857142,1.7142857142857142,hes not a pro,2.0,1.1428571428571428,1.1428571428571428,hes fine,anybody
126,1.0,1.0,1.0,the,1.0,1.0,1.0,the,long
127,1.0,0.9,0.8181818181818182,oh,1.0,0.7,0.9090909090909091,two,interwoven
128,3.0,2.0,1.6,she is not,3.0,2.0,1.6,she is not,kilo
129,1.0,0.6,1.0,yes,1.0,0.8,0.6666666666666666,inns,these
130,1.0,1.5,1.0,yeah,1.0,1.0,0.5,beat,be
131,1.0,0.6666666666666666,1.0,im,1.0,0.6666666666666666,1.0,im,did
132,1.0,0.6666666666666666,0.6666666666666666,oh,1.0,1.0,1.0,the,oil
133,1.0,1.0,1.0,the,1.0,1.0,1.0,the,into
134,1.0,0.75,0.75,im,1.0,0.75,0.75,ow,coil
135,1.0,0.8,0.6666666666666666,oh,1.0,0.8,0.6666666666666666,oh,hotel
136,1.0,0.8888888888888888,0.8888888888888888,im,1.0,0.8888888888888888,1.0,yeehoo,nuremberg
137,1.0,1.3333333333333333,1.3333333333333333,yours,1.0,0.6666666666666666,1.0,the,one
138,1.0,1.0,1.0,the,1.0,0.75,0.75,ow,coil
139,1.0,0.8888888888888888,0.875,the,1.0,0.8888888888888888,0.875,the,immovable
140,2.0,1.0,1.0,oh yeah,2.0,0.8,0.6,were ch,which
141,1.0,1.0,0.75,yeah,1.0,1.0,1.0,s,like
142,1.0,0.75,1.0,no,0.0,0.0,0.0,look,look
143,1.0,1.0,0.75,sons,1.0,0.6666666666666666,0.75,s,six
144,1.0,1.0,0.75,sons,1.0,0.6666666666666666,0.75,s,six
145,1.0,1.0,1.0,oh,1.0,1.0,1.0,oh,are
146,1.0,1.0,1.0,yeah,1.0,1.0,1.0,yeah,them
147,1.0,0.75,0.6666666666666666,yeah,1.0,0.75,0.6666666666666666,yeah,that
148,1.0,0.9285714285714286,0.9375,the,1.0,0.9285714285714286,1.0,so,naturalization
149,2.0,0.8,2.0,they go,2.0,1.2,2.3333333333333335,stay on,there
150,1.0,1.0,1.0,im,1.0,1.0,1.0,loch,one
151,1.0,0.6666666666666666,1.0,the,1.0,0.6666666666666666,1.0,the,two
152,1.0,0.6666666666666666,1.0,the,1.0,0.6666666666666666,1.0,the,tab
153,1.0,1.0,1.0,no,0.0,0.0,0.0,may,may
154,1.0,0.8571428571428571,1.0,oh,1.0,0.7142857142857143,1.0,so,absolve
155,1.0,1.0,0.6666666666666666,oh,1.0,1.0,0.6666666666666666,oh,bravo
156,1.0,1.0,1.0,oh,1.0,1.0,1.0,oh,duck
157,1.0,1.0,1.0,yeah,1.0,0.8333333333333334,0.8333333333333334,now,number
158,1.0,0.6666666666666666,1.0,s,1.0,0.6666666666666666,1.0,s,she
159,1.0,1.0,1.0,oh,1.0,1.0,1.0,the,into
160,1.0,1.0,1.0,im,2.0,1.2,1.4,im dead,adapt
161,1.0,1.0,1.0,oh,1.0,1.0,1.0,so,five
162,1.0,0.9090909090909091,0.9,the,3.0,1.0,1.0,10 2 1,candlelight
163,1.0,0.8333333333333334,1.0,a,1.0,1.0,0.8333333333333334,i,vacuum
164,3.0,1.1111111111111112,1.1818181818181819,im so grating,4.0,1.0,0.8181818181818182,and so lay sin,adulation
165,1.0,0.75,0.5,im,1.0,1.25,1.0,umhmm,five
166,3.0,4.0,2.6666666666666665,im all in,1.0,2.5,1.3333333333333333,mawson,my
167,1.0,1.0,0.75,the,1.0,1.0,1.0,,papa
168,1.0,0.8,1.5,w,1.0,1.0,1.0,m,write
169,2.0,1.0,1.0,one six,2.0,0.5714285714285714,0.6,we see,whiskey
170,1.0,0.8333333333333334,0.8333333333333334,okay,1.0,0.8333333333333334,0.8333333333333334,uh,upward
