,in_wers,in_cers,in_pers,in_status,in_texts,new_wers,new_cers,new_pers,new_status,new_texts,refs
0,1.0,1.0,1.0,0,,1.0,0.8571428571428571,0.8333333333333334,1,can,moisten
1,3.0,0.7272727272727273,0.9090909090909091,1,ko wei yes,2.0,0.9090909090909091,0.9090909090909091,1,ku we,abbreviated
2,1.0,0.42857142857142855,0.6666666666666666,1,with,1.0,0.42857142857142855,0.6666666666666666,1,with,without
3,1.0,0.8,0.8,1,can,1.0,0.8,0.8,1,can,casualties
4,1.0,1.0,1.0,0,,1.0,0.5,0.5,1,down,downward
5,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,each
6,1.0,1.0,1.0,0,,1.0,0.6666666666666666,0.6666666666666666,1,hey,how
7,1.0,1.0,1.0,0,,1.0,1.0,1.0,1,um,absolve
8,1.0,1.0,1.0,0,,1.0,1.0,0.6666666666666666,1,one,thumb
9,3.0,1.5714285714285714,1.2857142857142858,1,have been sold,3.0,1.0,1.0,1,a bit so,episode
10,3.0,0.75,0.8461538461538461,1,and ah key,2.0,0.8333333333333334,0.7692307692307693,1,and cheese,advantageous
11,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,delta
12,1.0,0.8333333333333334,1.0,1,oh,1.0,0.8333333333333334,1.0,1,ah,absorb
13,1.0,1.2,1.2,1,warparge,2.0,1.0,1.0,1,walk huh,watch
14,1.0,1.25,1.25,1,nine nine,0.0,0.0,0.0,1,nine,nine
15,1.0,0.6666666666666666,0.8,1,ya,1.0,0.6666666666666666,0.8,1,ya,yankee
16,1.0,1.0,1.0,1,shake,2.0,1.1666666666666667,1.1666666666666667,1,thick dont,victor
17,1.0,0.6666666666666666,0.6666666666666666,1,two,1.0,1.0,1.0,0,,tab
18,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,left
19,2.0,1.0,0.5555555555555556,1,dine dress,2.0,0.8333333333333334,0.4444444444444444,1,die dress,digest
20,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,choice
21,1.0,0.8333333333333334,1.0,1,one,3.0,0.6666666666666666,1.0,1,c e wa,sierra
22,1.0,0.8571428571428571,1.0,1,yes,1.0,0.8571428571428571,1.0,1,yes,fishing
23,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,unyielding
24,1.0,0.75,1.0,1,no,1.0,0.75,1.0,1,no,look
25,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,i
26,1.0,0.7272727272727273,0.7,1,bathroom,1.0,0.8181818181818182,0.8,1,bad,battlements
27,2.0,1.6666666666666667,2.5,1,oh oh,1.0,1.0,1.0,1,oh,are
28,1.0,1.0,1.0,0,,2.0,0.6,1.0,1,set out,shout
29,2.0,1.0,0.8181818181818182,1,sure can,1.0,0.75,0.8181818181818182,1,can,gigantic
30,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,all
31,1.0,1.0,1.0,0,,2.0,1.25,1.25,1,at home,echo
32,1.0,0.75,0.75,1,lily,1.0,1.0,1.0,0,,many
33,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,number
34,1.0,1.0,1.0,0,,1.0,1.0,0.6666666666666666,1,yeah,have
35,1.0,0.6666666666666666,0.6666666666666666,1,he,1.0,1.0,1.0,0,,how
36,1.0,0.75,1.0,1,yeah,1.0,1.0,1.0,1,oh,were
37,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,shovel
38,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,python
39,1.0,1.0,1.0,0,,1.0,1.0,0.8333333333333334,1,a,epithet
40,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,out
41,1.0,1.0,1.0,0,,1.0,0.5,1.0,1,six,said
42,2.0,0.8333333333333334,0.8,1,fat yeah,2.0,0.6666666666666666,0.8,1,fan ya,fathom
43,2.0,0.625,0.5,1,enny sang,1.0,0.625,0.5,1,any,anything
44,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,commercial
45,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,banana
46,1.0,1.0,1.0,1,oh,1.0,1.0,1.0,1,no,were
47,0.0,0.0,0.0,1,good,0.0,0.0,0.0,1,good,good
48,1.0,0.8333333333333334,0.8,1,so,1.0,0.8333333333333334,0.8,1,so,sawyer
49,2.0,1.125,1.0,1,enough cold,1.0,1.0,1.0,0,,iroquois
50,2.0,0.42857142857142855,0.6666666666666666,1,come man,2.0,0.42857142857142855,0.6666666666666666,1,come mad,command
51,2.0,0.9090909090909091,1.0,1,im so,4.0,0.9090909090909091,1.0,1,um so i can,observation
52,1.0,0.2857142857142857,0.5,1,shocking,1.0,0.7142857142857143,0.625,1,sho,choking
53,2.0,1.1666666666666667,0.8333333333333334,1,cool bad,1.0,1.0,0.8333333333333334,1,comp,quebec
54,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,tab
55,1.0,1.0,1.0,1,and,2.0,1.0,1.5,1,i so,other
56,1.0,1.0,0.5,1,karp,1.0,1.0,1.0,0,,copy
57,2.0,0.8888888888888888,0.875,1,on balloon,2.0,0.8888888888888888,0.875,1,on balloon,ablutions
58,1.0,0.8,1.3333333333333333,1,fema,1.0,1.0,1.0,0,,there
59,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,six
60,1.0,1.0,1.0,0,,2.0,0.5714285714285714,0.6,1,we see,whiskey
61,0.0,0.0,0.0,1,charlie,1.0,1.0,1.0,0,,charlie
62,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,of
63,1.0,1.0,1.0,0,,1.0,1.0,1.0,1,nine,they
64,1.0,0.8571428571428571,0.75,1,you,1.0,1.0,1.0,0,,uniform
65,1.0,2.0,1.0,1,eight,1.0,0.5,1.0,1,ah,at
66,1.0,0.75,0.875,1,four,1.0,0.5,0.5,1,down,downward
67,1.0,1.0,1.0,0,,1.0,0.6666666666666666,0.6666666666666666,1,am,him
68,2.0,1.4,1.1666666666666667,1,old town,1.0,0.8,0.6666666666666666,1,okay,hotel
69,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,papa
70,1.0,0.6666666666666666,0.6666666666666666,1,ten,1.0,0.6666666666666666,0.6666666666666666,1,ten,tab
71,2.0,1.5,1.5,1,who want,1.0,0.75,0.75,1,one,word
72,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,upward
73,1.0,1.0,1.0,0,,1.0,0.8333333333333334,1.0,1,one,crying
74,1.0,0.75,1.0,1,four,1.0,1.0,0.75,1,one,drum
