,in_wers,in_cers,in_pers,in_status,in_texts,new_wers,new_cers,new_pers,new_status,new_texts,refs
0,0.0,0.0,0.0,1,down,1.0,0.75,0.75,1,no,down
1,1.0,1.0,1.0,0,,1.0,0.5,1.0,1,yeah,near
2,0.23076923076923078,0.22666666666666666,0.2463768115942029,1,the prospect of cutting back spending is an unpleasant one,0.23076923076923078,0.22666666666666666,0.2463768115942029,1,the prospect of cutting back spending is an unpleasant one,the prospect of cutting back spending is an unpleasant one for any governor
3,0.6,0.6470588235294118,0.6129032258064516,1,the humidity,0.6,0.6470588235294118,0.6129032258064516,1,the humidity,the humidity is overwhelming there
4,1.0,1.0,1.0,0,,1.0,0.5,0.6666666666666666,1,rode,rage
5,0.0,0.0,0.0,1,spark,0.0,0.0,0.0,1,spark,spark
6,1.0,1.0,1.0,0,,1.0,0.5,0.6666666666666666,1,work,rock
7,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,sleep
8,0.8,0.3939393939393939,0.46875,1,mothers yellow king imp,0.8,0.45454545454545453,0.53125,1,mothers yellow king,mother sews yellow gingham aprons
9,1.0,0.4,0.25,1,art,1.0,1.2,1.0,1,alright,heart
10,2.0,1.75,1.75,1,five five,1.0,0.5,0.5,1,five,side
11,1.0,0.8,0.5,1,your,1.0,1.0,1.0,0,,thorn
12,0.2857142857142857,0.11764705882352941,0.15151515151515152,1,why yowler worry over silly items,0.2857142857142857,0.11764705882352941,0.12121212121212122,1,why yall worry over silly items,why yell or worry over silly items
13,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,chip
14,0.0,0.0,0.0,1,dot,1.0,1.0,1.0,0,,dot
15,1.0,0.8529411764705882,0.8787878787878788,1,entries,1.0,0.8529411764705882,0.8787878787878788,1,entries,both injuries were to the same leg
16,1.0,0.5,0.6666666666666666,1,si,1.0,0.75,0.6666666666666666,1,five,sigh
17,1.0,0.75,0.6666666666666666,1,food,1.0,1.0,1.0,0,,feet
18,1.0,1.0,1.0,1,oh,1.0,1.0,1.0,1,oh,car
19,0.0,0.0,0.0,1,yes,0.0,0.0,0.0,1,yes,yes
20,0.0,0.0,0.0,1,air,1.0,1.3333333333333333,1.0,1,yeah,air
21,3.0,2.4285714285714284,2.5,1,flicker flicker flicker,1.0,0.14285714285714285,0.16666666666666666,1,flicker,slicker
22,1.0,0.5,0.75,1,dash,1.0,0.75,0.75,1,does,dark
23,2.0,2.25,2.3333333333333335,1,pierre pierre,1.0,0.75,0.6666666666666666,1,pierre,peer
24,1.0,1.0,1.0,0,,1.0,0.8,1.0,1,no,group
25,0.0,0.0,0.0,1,hotel,0.0,0.0,0.0,1,hotel,hotel
26,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,tip
27,1.0,1.0,1.5,1,alcohol,1.0,1.0,1.5,1,alcohol,echo
28,0.0,0.0,0.0,1,dread,0.0,0.0,0.0,1,dread,dread
29,1.0,1.0,1.0,0,,1.0,0.75,0.5,1,hey,play
30,0.7142857142857143,0.5945945945945946,0.6363636363636364,1,if you destroy if you destroy confidence in banks,0.7142857142857143,0.5945945945945946,0.6363636363636364,1,if you destroy if you destroy confidence in banks,if you destroy confidence in banks you do something to the economy he said
31,1.0,0.6666666666666666,0.3333333333333333,1,part,0.0,0.0,0.0,1,pot,pot
32,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,dark
33,0.8,0.8333333333333334,0.8387096774193549,1,good job,1.0,0.8666666666666667,0.8709677419354839,1,could die,the job provides many benefits
34,0.14285714285714285,0.05128205128205128,0.10810810810810811,1,all the big baseball players get treated,0.0,0.0,0.0,1,all the big baseball players get traded,all the big baseball players get traded
35,1.0,0.75,0.3333333333333333,1,here,1.0,0.75,1.0,1,yeah,peer
36,1.0,1.1666666666666667,1.4,1,minton mitten,2.0,1.5,1.6,1,menton matton,mitten
37,1.0,0.875,0.8974358974358975,1,deng me,1.0,0.925,0.9487179487179487,1,deng,jane may earn more money by working hard
38,0.8,0.4666666666666667,0.45161290322580644,1,did job provide money,0.8,0.4666666666666667,0.45161290322580644,1,did job provide money,the job provides many benefits
39,0.0,0.0,0.0,1,no,0.0,0.0,0.0,1,no,no
40,0.875,0.6923076923076923,0.6744186046511628,1,night dark good night then we,0.75,0.7115384615384616,0.7209302325581395,1,night dark midnight they,night after night they received annoying phone calls
41,1.0,0.6666666666666666,0.2,1,six,1.0,0.6666666666666666,0.2,1,six,sticks
42,1.0,1.2,1.25,1,alpha alpha,0.0,0.0,0.0,1,alpha,alpha
43,0.36363636363636365,0.3076923076923077,0.3125,1,he really crucified him he nailed it,0.36363636363636365,0.3076923076923077,0.3125,1,he really crucified him he nailed it,he really crucified him he nailed it for a yard loss
44,0.0,0.0,0.0,1,yes,0.0,0.0,0.0,1,yes,yes
45,1.0,1.25,1.25,1,dark dark,0.0,0.0,0.0,1,dark,dark
46,0.0,0.0,0.0,1,droop,1.0,0.6,0.0,1,drupe,droop
47,0.0,0.0,0.0,1,no,0.0,0.0,0.0,1,no,no
48,1.0,0.75,0.75,1,fred,1.0,0.75,1.0,1,f,fate
49,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,suit
50,0.8333333333333334,0.7887323943661971,0.8142857142857143,1,nothing had been,0.8333333333333334,0.7887323943661971,0.8142857142857143,1,nothing had been,nothing has been done yet to take advantage of the enabling legislation
51,1.0,1.0,1.0,0,,1.0,1.0,1.0,0,,park
52,1.0,1.0,1.0,1,well,1.0,1.25,1.0,1,worries,race
